name|price|description|category|rating|source
CANON PGI-2500 (Gelb, Schwarz, Magenta, Cyan, Multipack)|77.9|Spare Geld mit diesem Vier-Farben-Multipack, das je eine DRHD-Pigmenttinte in Schwarz, Cyan, Magenta und Gelb beinhaltet. Die Tinte wird zum Druck hochwertiger Geschäftsdokumente auf Normalpapier eingesetzt und sorgt für ein gestochen scharfes Schriftbild und präzise Grafiken.|Computer & Gaming||interdiscount
CANON PG-560XLx2/CL-561XL (Gelb, Schwarz, Magenta, Cyan, Multipack)|79.95|Dieses Multipack ist deine günstige Lösung für langlebige Drucke. Es enthält zwei PG-560XL 14,3-ml-Schwarzpatronen mit hoher Ergiebigkeit zum Drucken von bis zu 400 A4-Seiten pro Patrone, und eine CL-561XL 12,2-ml-Farbpatrone mit hoher Ergiebigkeit zum Drucken von 300 Seiten mit leuchtenden Farben1. Original Canon Tinte verspricht eine bessere Qualität und höhere Zuverlässigkeit, sodass du kosteneffizienter drucken kannst.|Computer & Gaming||interdiscount
CANON KP-108IN (Gelb, Magenta, Cyan, Multipack)|39.95|Das Canon KP-108IN Multipaket enthält die Farben Gelb, Cyan und Magenta und zusätzlich noch 108 Blatt Fotopapier.Dank der intelligenten Canon-Technologien und dem äußerst bedienungsfreundlichen Design können Sie Ihre Bilder problemlos mit SELPHY teilen. SELPHY ist ein Kompakt-Foto-Drucker, der dir in sekundenschnelle brillante, langlebige, scharfe Fotos druckt. Dabei können die Fotos von verschiedenen Geräten ausgenommen werden. Lassen Sie Ihrer Kreativität freien Lauf. Die Canon KP-108IN lässt Sie auf jeden Fall nicht alleine.|Computer & Gaming||interdiscount
CANON PG-540L (Schwarz, 1 Stück)|36.95|Diese schwarze Pigmenttinte wird zum Druck von Dokumenten auf Normalpapier verwendet und sorgt für ein gestochen scharfes Schriftbild mit hoher Farbstabilität. Mit dieser 11-ml-Patrone können bis zu 300 Seiten im A4-Format gedruckt werden (gemäss ISO/IEC 24711¹ Standard).|Computer & Gaming||interdiscount
CANON CLI-521C (Cyan, 1 Stück)|11.35|Eine ganz wichtige Rolle beim Fotodruck spielt die Tinte. Sie kann den entscheidenden Unterschied ausmachen zwischen trüben und lebendigen Farben, verschwommenen und scharfen Fotoprints oder schnell verblassenden Drucken und solchen mit hoher Farbstabilität. Deshalb legt Canon grossen Wert auf die Entwicklung von Tinten und Systemen zur Realisierung jener Qualität, die Ihre Fotoprints verdienen.|Computer & Gaming||interdiscount
CANON CLI-571XL (Gelb, Schwarz, Magenta, Cyan, Multipack)|64.05|Original Verbrauchsmaterialien Original Canon Verbrauchsmaterialien sind einfach besser – sie sorgen dafür, dass dein Canon Drucker immer beste Ergebnisse liefert und bieten dabei ein gutes Preis-Leistungsverhältnis.|Computer & Gaming||interdiscount
CANON PG-585 (Schwarz, 1 Stück)|26.95|to PIXMA TS-Serie 7.3ml|Computer & Gaming||interdiscount
CANON CLI-581Y (Gelb, 1 Stück)|19.95|Druckleistung Seiten: 256 ×, Toner/Tinte Farbe: Yellow, Originalprodukt: Ja, Rainbow Kit: Nein|Computer & Gaming||interdiscount
CANON CLI-551 (Gelb, Schwarz, Magenta, Cyan, Multipack)|50.9|Original Verbrauchsmaterialien Original Canon Verbrauchsmaterialien sind einfach besser – sie sorgen dafür, dass dein Canon Drucker immer beste Ergebnisse liefert und bieten dabei ein gutes Preis-Leistungsverhältnis.|Computer & Gaming||interdiscount
CANON Selphy CP1500 (Tintenstrahl, Thermosublimation, 300 x 300 dpi)|119.95|Wunderschöne Drucke, die ein Leben lang halten, schnell erstellt Mit diesem kompakten Fotodrucker erstellst du wunderschöne, farbenfrohe Ausdrucke, die bis zu 100 Jahre farbstabil bleiben. Mit der kabellosen Smartphone-Bedienung über die SELPHY Photo Layout App und zahlreichen kabellosen und kabelgebundenen Anschlussoptionen kannst du ganz einfach von diversen Geräten aus drucken.|Computer & Gaming||interdiscount
